[mask] train episodes: 8000/10000 (holdout = 2000)
=== train gdm_reacher_s25.pt (faithful recipe, goal-cond sampled gap 1..100, eps<8000) ===
[cfg] {'subgoals': 'subgoals_reacher_dense.pt', 'out': 'gdm_reacher_s25.pt', 'device': 'cuda', 'seed': 42, 'mask': 'custom', 'custom_mask_file': 'reacher_train_mask.npy', 'window_rule': 'clamp', 'subgoal_step': 25, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': True, 'goal_rule': 'window', 'goal_gap': 1, 'goal_gap_max': 100, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=customdeg: 8000 episodes used; 1600000 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=25 => subgoal horizon = 25 frames  [GOAL-COND ablation, goal_rule=window gap=1]
[norm] native ||z|| mean=13.79 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.035, std mean=0.993)
[model] GDM (DiT) head params = 53.44M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=250000 warmup=2500 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 500] loss=0.37764 (run 0.88982, 100s, 201ms/it)
  [iter 1000] loss=0.15492 (run 0.52861, 129s, 129ms/it)
  [iter 1500] loss=0.13495 (run 0.39393, 159s, 106ms/it)
  [iter 2000] loss=0.07997 (run 0.32166, 187s, 93ms/it)
  [iter 2500] loss=0.07375 (run 0.27485, 215s, 86ms/it)
  [iter 3000] loss=0.07640 (run 0.24160, 243s, 81ms/it)
  [iter 3500] loss=0.05521 (run 0.21665, 273s, 78ms/it)
  [iter 4000] loss=0.05182 (run 0.19723, 303s, 76ms/it)
  [iter 4500] loss=0.03956 (run 0.18165, 332s, 74ms/it)
  [iter 5000] loss=0.03511 (run 0.16874, 362s, 72ms/it)
  [iter 5500] loss=0.04962 (run 0.15797, 391s, 71ms/it)
  [iter 6000] loss=0.04603 (run 0.14879, 420s, 70ms/it)
  [iter 6500] loss=0.04523 (run 0.14092, 448s, 69ms/it)
  [iter 7000] loss=0.05082 (run 0.13400, 477s, 68ms/it)
  [iter 7500] loss=0.05479 (run 0.12797, 506s, 67ms/it)
  [iter 8000] loss=0.03615 (run 0.12257, 534s, 67ms/it)
  [iter 8500] loss=0.03642 (run 0.11769, 562s, 66ms/it)
  [iter 9000] loss=0.04378 (run 0.11329, 592s, 66ms/it)
  [iter 9500] loss=0.03834 (run 0.10934, 621s, 65ms/it)
  [iter 10000] loss=0.02413 (run 0.10568, 651s, 65ms/it)
  [iter 10500] loss=0.03011 (run 0.10233, 680s, 65ms/it)
  [iter 11000] loss=0.03025 (run 0.09923, 710s, 65ms/it)
  [iter 11500] loss=0.03682 (run 0.09636, 739s, 64ms/it)
  [iter 12000] loss=0.03067 (run 0.09369, 767s, 64ms/it)
  [iter 12500] loss=0.03435 (run 0.09126, 795s, 64ms/it)
[epoch 01/20] loss=0.09126 iters=12500 (795s)
  [iter 13000] loss=0.04549 (run 0.03228, 823s, 63ms/it)
  [iter 13500] loss=0.02378 (run 0.03159, 852s, 63ms/it)
  [iter 14000] loss=0.02879 (run 0.03117, 881s, 63ms/it)
  [iter 14500] loss=0.02917 (run 0.03078, 910s, 63ms/it)
  [iter 15000] loss=0.02578 (run 0.03054, 939s, 63ms/it)
  [iter 15500] loss=0.02458 (run 0.03031, 968s, 62ms/it)
  [iter 16000] loss=0.02872 (run 0.02993, 997s, 62ms/it)
  [iter 16500] loss=0.03048 (run 0.02961, 1027s, 62ms/it)
  [iter 17000] loss=0.02350 (run 0.02936, 1056s, 62ms/it)
  [iter 17500] loss=0.02717 (run 0.02908, 1086s, 62ms/it)
  [iter 18000] loss=0.02717 (run 0.02885, 1116s, 62ms/it)
  [iter 18500] loss=0.02388 (run 0.02858, 1145s, 62ms/it)
  [iter 19000] loss=0.03060 (run 0.02836, 1175s, 62ms/it)
  [iter 19500] loss=0.02127 (run 0.02815, 1204s, 62ms/it)
  [iter 20000] loss=0.02408 (run 0.02792, 1232s, 62ms/it)
  [iter 20500] loss=0.02854 (run 0.02769, 1261s, 62ms/it)
  [iter 21000] loss=0.02427 (run 0.02749, 1289s, 61ms/it)
  [iter 21500] loss=0.01719 (run 0.02729, 1318s, 61ms/it)
  [iter 22000] loss=0.02600 (run 0.02710, 1346s, 61ms/it)
  [iter 22500] loss=0.02319 (run 0.02692, 1374s, 61ms/it)
  [iter 23000] loss=0.02320 (run 0.02674, 1403s, 61ms/it)
  [iter 23500] loss=0.03250 (run 0.02655, 1431s, 61ms/it)
  [iter 24000] loss=0.03452 (run 0.02634, 1459s, 61ms/it)
  [iter 24500] loss=0.02463 (run 0.02616, 1488s, 61ms/it)
  [iter 25000] loss=0.03932 (run 0.02597, 1517s, 61ms/it)
[epoch 02/20] loss=0.02597 iters=25000 (1517s)
  [iter 25500] loss=0.02651 (run 0.02157, 1547s, 61ms/it)
  [iter 26000] loss=0.02982 (run 0.02146, 1576s, 61ms/it)
  [iter 26500] loss=0.01743 (run 0.02114, 1604s, 61ms/it)
  [iter 27000] loss=0.02180 (run 0.02107, 1632s, 60ms/it)
  [iter 27500] loss=0.02146 (run 0.02103, 1662s, 60ms/it)
  [iter 28000] loss=0.02522 (run 0.02099, 1692s, 60ms/it)
  [iter 28500] loss=0.02404 (run 0.02090, 1721s, 60ms/it)
  [iter 29000] loss=0.02056 (run 0.02071, 1750s, 60ms/it)
  [iter 29500] loss=0.01362 (run 0.02063, 1778s, 60ms/it)
  [iter 30000] loss=0.02584 (run 0.02056, 1807s, 60ms/it)
  [iter 30500] loss=0.02098 (run 0.02042, 1835s, 60ms/it)
