env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,icem_router_rt0.10,100,8,42|43|44|45|46|47|48|49,92.04,0.42,90.62|92.19|91.02|92.19|90.62|93.75|92.58|93.36,0.703
pusht,icem_router_rt0.15,100,8,42|43|44|45|46|47|48|49,92.09,0.54,92.58|90.23|93.36|93.75|92.58|93.36|91.02|89.84,0.698
pusht,mppi_router_mp,100,8,42|43|44|45|46|47|48|49,94.97,0.54,93.36|95.70|96.88|96.88|92.97|95.70|94.14|94.14,0.711
pusht,mppi_router_rt0.10,100,8,42|43|44|45|46|47|48|49,95.12,0.29,95.31|95.31|95.31|93.36|94.53|95.70|95.31|96.09,0.711
pusht,mppi_router_rt0.15,100,8,42|43|44|45|46|47|48|49,94.68,0.42,94.92|94.53|95.31|93.36|95.70|92.58|94.92|96.09,0.712
pusht,router_rt0.10,100,8,42|43|44|45|46|47|48|49,96.14,0.32,96.09|96.09|97.66|96.09|94.53|96.09|95.70|96.88,0.637
pusht,router_rt0.15,100,8,42|43|44|45|46|47|48|49,95.85,0.33,93.75|95.70|96.48|96.09|95.70|96.09|96.88|96.09,0.637
pusht,icem_router_mp,150,8,42|43|44|45|46|47|48|49,93.85,0.44,91.80|95.31|95.31|93.36|94.14|94.53|93.75|92.58,0.721
pusht,icem_router_rt0.10,150,8,42|43|44|45|46|47|48|49,93.07,0.39,94.53|92.58|93.36|92.19|93.36|94.53|92.58|91.41,0.724
pusht,icem_router_rt0.15,150,8,42|43|44|45|46|47|48|49,93.16,0.61,92.19|94.53|94.14|95.31|89.84|93.75|92.19|93.36,0.722
pusht,mppi_router_mp,150,8,42|43|44|45|46|47|48|49,95.36,0.37,95.70|95.31|96.48|95.70|94.53|94.14|94.14|96.88,0.727
pusht,mppi_router_rt0.10,150,8,42|43|44|45|46|47|48|49,95.02,0.31,94.14|95.31|96.09|93.36|94.92|95.70|95.31|95.31,0.725
pusht,mppi_router_rt0.15,150,8,42|43|44|45|46|47|48|49,94.73,0.52,94.14|95.70|96.48|94.14|92.58|96.09|95.70|92.97,0.730
pusht,router_rt0.10,150,8,42|43|44|45|46|47|48|49,97.61,0.30,96.48|97.27|97.27|98.83|96.88|97.66|97.66|98.83,0.651
pusht,router_rt0.15,150,8,42|43|44|45|46|47|48|49,96.63,0.35,97.27|97.27|96.88|96.48|94.92|97.27|97.66|95.31,0.650
reacher,icem_router_mp,25,8,42|43|44|45|46|47|48|49,98.24,0.41,97.66|97.66|96.09|100.00|99.22|98.44|98.44|98.44,0.807
reacher,icem_router_rt0.10,25,8,42|43|44|45|46|47|48|49,99.12,0.27,97.66|98.44|100.00|99.22|99.22|99.22|100.00|99.22,0.859
reacher,icem_router_rt0.15,25,8,42|43|44|45|46|47|48|49,99.32,0.31,100.00|97.66|99.22|98.44|100.00|99.22|100.00|100.00,0.868
reacher,mppi_router_mp,25,8,42|43|44|45|46|47|48|49,83.40,1.29,87.50|81.25|82.81|78.12|85.94|86.72|85.94|78.91,0.750
reacher,mppi_router_rt0.10,25,8,42|43|44|45|46|47|48|49,79.00,1.40,78.12|80.47|73.44|83.59|85.16|76.56|75.78|78.91,0.976
reacher,mppi_router_rt0.15,25,8,42|43|44|45|46|47|48|49,79.79,1.14,82.81|81.25|79.69|78.91|79.69|80.47|72.66|82.81,0.964
reacher,router_rt0.10,25,8,42|43|44|45|46|47|48|49,98.05,0.26,97.66|98.44|96.88|97.66|99.22|98.44|98.44|97.66,0.823
reacher,router_rt0.15,25,8,42|43|44|45|46|47|48|49,99.41,0.24,98.44|100.00|100.00|98.44|100.00|99.22|100.00|99.22,0.971
reacher,icem_router_mp,50,8,42|43|44|45|46|47|48|49,97.85,0.20,97.66|97.66|98.44|97.66|98.44|98.44|97.66|96.88,0.772
reacher,icem_router_rt0.10,50,8,42|43|44|45|46|47|48|49,97.85,0.32,97.66|99.22|97.66|98.44|98.44|97.66|96.09|97.66,0.786
reacher,icem_router_rt0.15,50,8,42|43|44|45|46|47|48|49,98.44,0.29,96.88|98.44|98.44|99.22|98.44|99.22|97.66|99.22,0.801
reacher,mppi_router_mp,50,8,42|43|44|45|46|47|48|49,93.85,0.58,95.31|92.97|95.31|92.97|95.31|93.75|94.53|90.62,1.000
reacher,mppi_router_rt0.10,50,8,42|43|44|45|46|47|48|49,94.92,0.57,91.41|93.75|96.09|95.31|96.09|95.31|96.09|95.31,0.970
reacher,mppi_router_rt0.15,50,8,42|43|44|45|46|47|48|49,94.82,0.77,92.97|92.19|94.53|96.88|92.19|96.09|97.66|96.09,0.968
reacher,router_rt0.10,50,8,42|43|44|45|46|47|48|49,97.56,0.43,98.44|97.66|96.88|96.88|96.09|100.00|97.66|96.88,0.780
reacher,router_rt0.15,50,8,42|43|44|45|46|47|48|49,98.24,0.44,97.66|100.00|98.44|99.22|96.09|99.22|97.66|97.66,0.793
reacher,icem_router_mp,100,8,42|43|44|45|46|47|48|49,96.48,0.26,97.66|95.31|96.88|96.09|96.09|96.88|96.09|96.88,0.763
reacher,icem_router_rt0.10,100,8,42|43|44|45|46|47|48|49,96.09,0.42,96.09|95.31|95.31|97.66|97.66|95.31|96.88|94.53,0.728
reacher,icem_router_rt0.15,100,8,42|43|44|45|46|47|48|49,96.49,0.49,97.66|95.31|97.66|96.88|96.88|96.09|97.66|93.75,0.750
reacher,mppi_router_mp,100,8,42|43|44|45|46|47|48|49,91.99,0.83,87.50|89.84|92.97|94.53|93.75|92.19|93.75|91.41,0.958
reacher,mppi_router_rt0.10,100,8,42|43|44|45|46|47|48|49,97.17,0.29,96.09|97.66|96.09|96.88|97.66|97.66|96.88|98.44,0.947
reacher,mppi_router_rt0.15,100,8,42|43|44|45|46|47|48|49,95.90,0.53,93.75|94.53|97.66|96.09|96.88|96.09|97.66|94.53,0.963
reacher,router_rt0.10,100,8,42|43|44|45|46|47|48|49,95.02,0.55,92.97|95.31|94.53|95.31|95.31|92.97|96.09|97.66,0.772
reacher,router_rt0.15,100,8,42|43|44|45|46|47|48|49,94.24,0.44,92.97|93.75|94.53|96.09|92.19|94.53|95.31|94.53,0.786
reacher,icem_router_mp,150,8,42|43|44|45|46|47|48|49,93.36,0.33,92.97|92.97|92.97|92.19|95.31|93.75|93.75|92.97,0.718
reacher,icem_router_rt0.10,150,8,42|43|44|45|46|47|48|49,92.97,1.08,89.06|88.28|92.97|94.53|97.66|92.97|93.75|94.53,0.724
reacher,icem_router_rt0.15,150,8,42|43|44|45|46|47|48|49,90.13,0.55,89.06|89.84|89.06|90.62|93.75|89.84|89.84|89.06,0.718
reacher,mppi_router_mp,150,8,42|43|44|45|46|47|48|49,89.45,0.92,89.84|87.50|89.84|92.97|85.16|92.19|90.62|87.50,0.964
reacher,mppi_router_rt0.10,150,8,42|43|44|45|46|47|48|49,93.46,0.85,89.84|90.62|95.31|95.31|96.09|95.31|92.97|92.19,0.953
reacher,mppi_router_rt0.15,150,8,42|43|44|45|46|47|48|49,93.16,0.24,93.75|92.97|93.75|92.97|92.19|93.75|93.75|92.19,0.960
reacher,router_rt0.10,150,8,42|43|44|45|46|47|48|49,89.94,0.54,90.62|88.28|91.41|89.84|89.84|87.50|92.19|89.84,0.763
reacher,router_rt0.15,150,8,42|43|44|45|46|47|48|49,88.77,0.57,87.50|88.28|88.28|89.06|92.19|87.50|89.84|87.50,0.769
tworoom,icem_router_mp,25,8,42|43|44|45|46|47|48|49,80.86,1.56,82.81|78.12|79.69|89.06|75.00|84.38|78.12|79.69,0.921
tworoom,mppi_router_mp,25,8,42|43|44|45|46|47|48|49,48.83,2.47,46.88|42.19|62.50|51.56|48.44|53.12|45.31|40.62,0.953
tworoom,icem_router_mp,50,8,42|43|44|45|46|47|48|49,84.77,2.00,90.62|89.06|73.44|82.81|84.38|84.38|82.81|90.62,0.939
tworoom,mppi_router_mp,50,8,42|43|44|45|46|47|48|49,34.38,1.25,31.25|29.69|35.94|32.81|37.50|40.62|32.81|34.38,0.959
tworoom,icem_router_mp,75,8,42|43|44|45|46|47|48|49,84.77,1.91,84.38|82.81|79.69|96.88|85.94|81.25|81.25|85.94,0.927
tworoom,mppi_router_mp,75,8,42|43|44|45|46|47|48|49,24.41,1.47,23.44|18.75|31.25|20.31|26.56|28.12|25.00|21.88,0.952
