env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
reacher,mppi_flat_rh2,25,8,42|43|44|45|46|47|48|49,80.96,0.81,82.03|78.91|82.81|83.59|81.25|82.03|80.47|76.56,
reacher,gd_flat_rh2,50,8,42|43|44|45|46|47|48|49,94.14,0.44,93.75|93.75|95.31|92.19|92.97|94.53|94.53|96.09,
reacher,icem_flat_rh2,50,8,42|43|44|45|46|47|48|49,88.28,0.26,88.28|89.06|87.50|89.06|88.28|89.06|87.50|87.50,
reacher,mppi_flat_rh2,50,8,42|43|44|45|46|47|48|49,90.43,0.69,91.41|91.41|93.75|87.50|89.84|90.62|90.62|88.28,
reacher,gd_flat_rh2,100,8,42|43|44|45|46|47|48|49,85.65,0.42,85.16|85.94|86.72|87.50|85.16|85.16|85.94|83.59,
reacher,icem_flat_rh2,100,8,42|43|44|45|46|47|48|49,71.39,0.25,71.88|71.09|70.31|71.88|71.09|71.09|72.66|71.09,
reacher,mppi_flat_rh2,100,8,42|43|44|45|46|47|48|49,83.01,0.72,85.94|84.38|84.38|82.03|80.47|82.03|84.38|80.47,
reacher,gd_flat_rh2,150,8,42|43|44|45|46|47|48|49,80.76,0.81,78.91|83.59|81.25|78.91|83.59|82.03|77.34|80.47,
reacher,icem_flat_rh2,150,8,42|43|44|45|46|47|48|49,48.73,0.25,48.44|48.44|48.44|47.66|49.22|48.44|50.00|49.22,
reacher,mppi_flat_rh2,150,8,42|43|44|45|46|47|48|49,74.02,0.94,71.09|74.22|74.22|78.12|71.09|77.34|74.22|71.88,
