env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,gcsurv_S20,150,8,42|43|44|45|46|47|48|49,89.89,0.49,88.67|89.84|90.62|91.41|91.02|89.06|91.02|87.50,0.944
pusht,gcsurv_S5,150,8,42|43|44|45|46|47|48|49,93.41,0.54,92.97|93.36|94.53|95.31|90.23|93.36|94.53|92.97,0.935
pusht,gcsurv_coin0.2,150,8,42|43|44|45|46|47|48|49,92.87,0.43,93.36|91.02|93.75|93.36|94.92|92.58|92.19|91.80,0.422
pusht,gcsurv_coin0.4,150,8,42|43|44|45|46|47|48|49,93.07,0.57,92.19|92.97|95.70|92.97|94.53|92.97|92.97|90.23,0.524
pusht,gcsurv_coin0.6,150,8,42|43|44|45|46|47|48|49,93.02,0.47,93.36|89.84|93.75|92.97|93.75|92.97|93.75|93.75,0.652
pusht,gcsurv_coin0.8,150,8,42|43|44|45|46|47|48|49,93.85,0.46,92.58|92.97|94.92|96.48|94.14|93.36|93.36|92.97,0.813
pusht,gcsurv_k1,150,8,42|43|44|45|46|47|48|49,70.02,1.00,73.05|68.75|66.80|69.92|67.58|72.27|67.58|74.22,1.000
pusht,gcsurv_k2,150,8,42|43|44|45|46|47|48|49,69.24,0.79,68.36|66.80|67.97|71.88|71.88|67.19|71.88|67.97,1.000
pusht,gcsurv_k8,150,8,42|43|44|45|46|47|48|49,94.53,0.42,95.31|95.31|94.14|93.36|93.75|96.48|92.97|94.92,0.801
pusht,gcsurv_s1,150,8,42|43|44|45|46|47|48|49,91.45,0.52,91.80|93.75|90.23|92.97|89.45|92.19|90.23|91.02,0.829
pusht,gcsurv_s2,150,8,42|43|44|45|46|47|48|49,94.09,0.31,94.92|92.97|92.97|93.75|95.31|94.53|94.53|93.75,0.821
pusht,gcsurv_tau0.10,150,8,42|43|44|45|46|47|48|49,92.72,0.34,90.62|92.97|92.97|93.75|93.36|92.97|92.19|92.97,0.983
pusht,gcsurv_tau0.15,150,8,42|43|44|45|46|47|48|49,92.82,0.55,94.53|90.23|94.14|93.36|90.62|93.36|93.36|92.97,0.909
pusht,gcsurv_tau0.25,150,8,42|43|44|45|46|47|48|49,93.07,0.42,93.75|91.80|92.97|92.19|94.92|91.41|93.75|93.75,0.766
