env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,icem_router_tauown,100,8,42|43|44|45|46|47|48|49,90.38,0.37,89.45|89.45|90.23|90.62|92.19|91.02|89.06|91.02,0.619
pusht,icem_surveyor_tauown,100,8,42|43|44|45|46|47|48|49,92.63,0.52,92.58|93.75|92.97|94.53|90.62|94.14|91.02|91.41,0.621
pusht,mppi_router_tauown,100,8,42|43|44|45|46|47|48|49,94.53,0.65,95.31|96.88|96.48|93.75|91.80|94.92|94.92|92.19,0.646
pusht,mppi_surveyor_tauown,100,8,42|43|44|45|46|47|48|49,95.07,0.44,94.92|95.70|93.75|92.97|96.88|95.70|94.92|95.70,0.649
pusht,router_tauown,100,8,42|43|44|45|46|47|48|49,93.80,0.52,94.14|94.14|92.97|94.92|91.02|93.75|93.36|96.09,0.568
pusht,surveyor_tauown,100,8,42|43|44|45|46|47|48|49,95.31,0.21,94.92|96.09|94.92|94.92|96.09|95.31|94.53|95.70,0.567
pusht,gcrouter_off_s42_tauown,150,8,42|43|44|45|46|47|48|49,94.19,0.28,95.31|94.92|94.53|92.97|93.75|93.36|94.53|94.14,0.731
pusht,gcsurv_off_s42_tauown,150,8,42|43|44|45|46|47|48|49,93.99,0.30,93.36|93.36|93.75|94.53|92.97|94.14|95.70|94.14,0.728
pusht,gd_router_tauown,150,8,42|43|44|45|46|47|48|49,96.88,0.44,98.05|98.83|96.09|97.27|97.27|96.09|94.92|96.48,0.604
pusht,gd_surveyor_tauown,150,8,42|43|44|45|46|47|48|49,96.78,0.31,96.88|96.88|98.44|95.70|95.70|97.27|96.48|96.88,0.603
pusht,icem_router_tauown,150,8,42|43|44|45|46|47|48|49,93.12,0.41,93.75|91.80|93.75|93.75|94.53|93.36|91.02|92.97,0.639
pusht,icem_surveyor_tauown,150,8,42|43|44|45|46|47|48|49,93.90,0.37,92.19|94.53|93.75|95.70|93.75|92.97|94.14|94.14,0.633
pusht,mppi_router_tauown,150,8,42|43|44|45|46|47|48|49,94.43,0.36,93.36|95.31|95.70|95.31|94.14|93.75|94.92|92.97,0.665
pusht,mppi_surveyor_tauown,150,8,42|43|44|45|46|47|48|49,94.87,0.46,94.92|95.31|94.53|94.53|92.58|95.31|97.27|94.53,0.666
pusht,router_tauown,150,8,42|43|44|45|46|47|48|49,97.07,0.50,98.05|97.66|98.05|94.92|98.44|98.05|95.31|96.09,0.579
pusht,surveyor_tauown,150,8,42|43|44|45|46|47|48|49,97.71,0.37,96.88|98.83|98.44|98.44|97.27|96.88|98.83|96.09,0.579
