env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,mppi_router_mp_rt0.10,150,8,42|43|44|45|46|47|48|49,94.68,0.45,93.75|96.88|95.70|94.14|94.92|94.92|92.58|94.53,0.727
reacher,icem_router_mp_rt0.10,25,8,42|43|44|45|46|47|48|49,95.31,0.42,95.31|96.09|95.31|95.31|94.53|96.09|96.88|92.97,0.735
reacher,mppi_router_mp_rt0.10,25,8,42|43|44|45|46|47|48|49,80.08,1.03,81.25|82.03|80.47|83.59|78.12|76.56|82.81|75.78,0.960
reacher,icem_router_mp_rt0.10,50,8,42|43|44|45|46|47|48|49,97.27,0.55,98.44|97.66|95.31|96.88|100.00|96.88|95.31|97.66,0.717
reacher,mppi_router_mp_rt0.10,50,8,42|43|44|45|46|47|48|49,94.14,0.57,96.09|96.09|94.53|93.75|92.19|92.97|95.31|92.19,0.970
reacher,icem_router_mp_rt0.10,100,8,42|43|44|45|46|47|48|49,95.90,0.48,94.53|94.53|96.09|97.66|97.66|96.88|94.53|95.31,0.728
reacher,mppi_router_mp_rt0.10,100,8,42|43|44|45|46|47|48|49,95.41,0.75,90.62|97.66|96.88|95.31|96.09|95.31|96.09|95.31,0.964
reacher,icem_router_mp_rt0.10,150,8,42|43|44|45|46|47|48|49,93.26,0.55,93.75|92.97|93.75|90.62|91.41|95.31|94.53|93.75,0.735
reacher,mppi_router_mp_rt0.10,150,8,42|43|44|45|46|47|48|49,92.48,0.53,92.19|92.19|89.84|93.75|94.53|93.75|91.41|92.19,0.955
tworoom,icem_router_mp_rt0.10,25,8,42|43|44|45|46|47|48|49,77.54,1.67,81.25|73.44|73.44|82.81|71.88|84.38|76.56|76.56,0.922
tworoom,icem_router_rt0.10,25,8,42|43|44|45|46|47|48|49,77.54,1.67,81.25|73.44|73.44|82.81|71.88|84.38|76.56|76.56,0.922
tworoom,mppi_router_mp_rt0.10,25,8,42|43|44|45|46|47|48|49,49.22,2.42,53.12|39.06|51.56|57.81|56.25|48.44|40.62|46.88,0.958
tworoom,mppi_router_rt0.10,25,8,42|43|44|45|46|47|48|49,49.22,2.42,53.12|39.06|51.56|57.81|56.25|48.44|40.62|46.88,0.958
tworoom,router_rt0.10,25,8,42|43|44|45|46|47|48|49,66.99,2.28,70.31|56.25|76.56|67.19|70.31|67.19|59.38|68.75,0.963
