env,arm,t,n_seeds,seeds,sr_mean_pct,sr_se_pct,sr_per_seed,call_ratio
pusht,gd_router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,95.51,0.42,94.14|96.88|96.48|94.53|96.48|96.09|93.75|95.70,0.592
pusht,icem_router_ds1_tauown,100,8,42|43|44|45|46|47|48|49,91.89,0.59,91.41|93.75|90.23|94.14|90.23|90.23|91.80|93.36,0.633
pusht,icem_router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,91.90,0.25,91.80|92.19|92.19|92.19|92.58|91.02|92.58|90.62,0.618
pusht,mppi_router_ds1_tauown,100,8,42|43|44|45|46|47|48|49,95.07,0.38,94.14|95.31|94.53|94.92|96.88|95.70|93.36|95.70,0.651
pusht,mppi_router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,95.36,0.48,94.14|94.92|93.75|95.70|97.66|96.48|94.14|96.09,0.639
pusht,router_ds1_tauown,100,8,42|43|44|45|46|47|48|49,94.92,0.50,94.14|94.53|93.75|97.66|95.31|93.36|94.53|96.09,0.575
pusht,router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,94.77,0.43,94.92|96.09|93.36|94.92|94.92|92.58|95.70|95.70,0.568
pusht,gcrouter_off_s42_ds1_tauown,150,8,42|43|44|45|46|47|48|49,95.16,0.42,95.31|96.09|97.27|94.14|94.14|93.75|95.70|94.92,0.728
pusht,gcrouter_off_s42_ds2_tauown,150,8,42|43|44|45|46|47|48|49,94.63,0.34,92.58|94.92|94.92|95.31|94.92|94.14|94.53|95.70,0.730
pusht,gd_router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,97.86,0.20,98.44|97.66|98.44|98.05|97.27|98.05|96.88|98.05,0.604
pusht,gd_router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,97.41,0.23,97.27|97.66|96.88|98.44|96.48|96.88|97.66|98.05,0.601
pusht,icem_router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,94.87,0.26,94.14|95.31|96.09|95.31|94.92|93.75|94.92|94.53,0.648
pusht,icem_router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,94.04,0.42,94.53|92.58|92.97|96.09|94.92|94.14|92.97|94.14,0.645
pusht,mppi_router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,96.48,0.34,95.70|96.48|95.31|95.70|98.05|96.48|96.48|97.66,0.661
pusht,mppi_router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,95.16,0.38,96.48|96.88|94.53|94.53|95.70|94.92|93.75|94.53,0.659
pusht,router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,97.95,0.34,97.66|96.48|99.22|98.05|97.27|98.44|97.27|99.22,0.571
pusht,router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,97.90,0.30,98.44|97.27|98.44|96.09|98.05|98.05|98.05|98.83,0.583
reacher,gcrouter_off_s42_ds1_tauown,25,8,42|43|44|45|46|47|48|49,95.02,0.44,96.88|93.75|95.31|95.31|92.97|94.53|96.09|95.31,0.619
reacher,gcrouter_off_s42_ds2_tauown,25,8,42|43|44|45|46|47|48|49,94.24,0.29,94.53|94.53|93.75|93.75|93.75|93.75|93.75|96.09,0.624
reacher,gd_router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,96.29,0.69,92.19|96.88|97.66|98.44|95.31|96.09|96.09|97.66,0.950
reacher,gd_router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,95.12,0.57,93.75|94.53|97.66|94.53|94.53|96.88|96.09|92.97,0.949
reacher,icem_router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,98.54,0.37,97.66|99.22|99.22|96.88|97.66|98.44|99.22|100.00,0.898
reacher,icem_router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,98.73,0.39,98.44|100.00|98.44|97.66|96.88|99.22|99.22|100.00,0.921
reacher,mppi_router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,80.08,1.45,82.03|83.59|78.91|83.59|82.03|82.03|76.56|71.88,0.982
reacher,mppi_router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,79.69,1.76,81.25|85.94|75.78|77.34|82.03|83.59|81.25|70.31,0.986
reacher,router_ds1_tauown,25,8,42|43|44|45|46|47|48|49,98.93,0.33,97.66|99.22|97.66|98.44|99.22|100.00|99.22|100.00,0.925
reacher,router_ds2_tauown,25,8,42|43|44|45|46|47|48|49,98.34,0.67,94.53|100.00|99.22|99.22|96.88|97.66|99.22|100.00,0.925
reacher,gcrouter_off_s42_ds1_tauown,50,8,42|43|44|45|46|47|48|49,94.14,0.68,94.53|91.41|92.19|95.31|96.88|96.09|92.97|93.75,0.655
reacher,gcrouter_off_s42_ds2_tauown,50,8,42|43|44|45|46|47|48|49,92.09,0.54,92.19|90.62|90.62|91.41|92.19|91.41|92.97|95.31,0.640
reacher,gd_router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,98.93,0.33,99.22|97.66|99.22|100.00|100.00|97.66|99.22|98.44,0.959
reacher,gd_router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,99.12,0.23,99.22|98.44|98.44|99.22|100.00|98.44|99.22|100.00,0.954
reacher,icem_router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,98.54,0.27,99.22|97.66|97.66|97.66|99.22|99.22|99.22|98.44,0.909
reacher,icem_router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,98.63,0.20,99.22|99.22|97.66|98.44|98.44|99.22|98.44|98.44,0.915
reacher,mppi_router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,95.61,0.63,96.09|96.88|96.88|96.09|94.53|92.19|94.53|97.66,0.987
reacher,mppi_router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,94.53,0.36,94.53|93.75|92.97|96.09|95.31|95.31|93.75|94.53,0.990
reacher,router_ds1_tauown,50,8,42|43|44|45|46|47|48|49,98.63,0.13,99.22|98.44|98.44|98.44|98.44|99.22|98.44|98.44,0.916
reacher,router_ds2_tauown,50,8,42|43|44|45|46|47|48|49,97.95,0.66,95.31|99.22|95.31|96.88|99.22|100.00|99.22|98.44,0.925
reacher,gcrouter_off_s42_ds1_tauown,100,8,42|43|44|45|46|47|48|49,96.58,0.33,95.31|96.09|96.09|96.09|96.09|97.66|97.66|97.66,0.728
reacher,gcrouter_off_s42_ds2_tauown,100,8,42|43|44|45|46|47|48|49,95.90,0.41,97.66|95.31|96.09|96.09|95.31|96.09|96.88|93.75,0.747
reacher,gd_router_ds1_tauown,100,8,42|43|44|45|46|47|48|49,96.78,0.48,96.88|96.88|96.88|94.53|98.44|95.31|96.88|98.44,0.960
reacher,gd_router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,96.88,0.69,96.09|95.31|99.22|97.66|100.00|94.53|95.31|96.88,0.949
reacher,icem_router_ds1_tauown,100,8,42|43|44|45|46|47|48|49,96.58,0.33,96.88|95.31|96.88|96.09|96.09|98.44|96.09|96.88,0.891
reacher,icem_router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,96.58,0.29,97.66|96.88|96.09|97.66|96.88|95.31|96.09|96.09,0.893
reacher,mppi_router_ds1_tauown,100,8,42|43|44|45|46|47|48|49,96.78,0.56,94.53|96.88|96.09|97.66|97.66|94.53|98.44|98.44,0.986
reacher,mppi_router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,95.70,0.30,94.53|96.09|95.31|96.09|94.53|96.88|96.09|96.09,0.990
reacher,router_ds1_tauown,100,8,42|43|44|45|46|47|48|49,94.63,0.71,92.97|94.53|93.75|94.53|97.66|96.88|95.31|91.41,0.908
reacher,router_ds2_tauown,100,8,42|43|44|45|46|47|48|49,93.85,0.67,90.62|92.19|95.31|93.75|93.75|94.53|93.75|96.88,0.890
reacher,gcrouter_off_s42_ds1_tauown,150,8,42|43|44|45|46|47|48|49,94.92,0.33,93.75|96.09|95.31|94.53|93.75|96.09|95.31|94.53,0.772
reacher,gcrouter_off_s42_ds2_tauown,150,8,42|43|44|45|46|47|48|49,93.94,0.24,92.97|93.75|94.53|93.75|93.75|95.31|93.75|93.75,0.764
reacher,gd_router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,93.26,0.49,92.19|96.09|91.41|93.75|93.75|92.97|92.97|92.97,0.947
reacher,gd_router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,92.28,0.62,91.41|90.62|90.62|94.53|92.19|91.41|95.31|92.19,0.947
reacher,icem_router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,93.16,0.41,92.97|95.31|91.41|93.75|93.75|92.19|92.97|92.97,0.884
reacher,icem_router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,91.80,0.72,88.28|91.41|94.53|93.75|92.97|92.19|89.84|91.41,0.881
reacher,mppi_router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,93.95,0.55,94.53|96.88|92.97|93.75|93.75|94.53|93.75|91.41,0.988
reacher,mppi_router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,91.80,0.61,89.84|91.41|95.31|91.41|90.62|92.97|92.19|90.62,0.984
reacher,router_ds1_tauown,150,8,42|43|44|45|46|47|48|49,91.60,0.84,85.94|92.19|92.19|93.75|91.41|92.19|92.19|92.97,0.910
reacher,router_ds2_tauown,150,8,42|43|44|45|46|47|48|49,89.65,0.70,86.72|92.97|90.62|88.28|89.06|89.84|88.28|91.41,0.919
