file,tau,redrafts,advances,rejects,call_ratio
cubeG_gff10_gate_seed42.log,0.2,720,139,310,0.838
cubeG_gff10_gate_seed43.log,0.2,694,120,273,0.853
cubeG_gff10_gate_seed44.log,0.2,812,146,306,0.848
cubeG_gff10_gate_seed45.log,0.2,881,138,354,0.865
cubeK3C_2276035_0.log,0.2,862,145,684,0.856
cubeK3C_2276035_1.log,0.2,1002,165,831,0.859
cubeK3C_2276035_2.log,0.2,960,126,753,0.884
cubeK3C_2276035_3.log,0.2,820,82,623,0.909
cubeK3C_2276035_4.log,0.2,686,88,533,0.886
cubeK3C_2276035_5.log,0.2,825,91,655,0.901
cubeK3C_2276035_6.log,0.2,739,104,558,0.877
cubeK3C_2276035_7.log,0.2,839,103,641,0.891
cubeK3C_speck3_seed50.log,0.2,862,145,684,0.856
cubeK3C_speck3_seed51.log,0.2,1002,165,831,0.859
cubeK3C_speck3_seed52.log,0.2,960,126,753,0.884
cubeK3C_speck3_seed53.log,0.2,820,82,623,0.909
cubeK3C_speck3_seed54.log,0.2,686,88,533,0.886
cubeK3C_speck3_seed55.log,0.2,825,91,655,0.901
cubeK3C_speck3_seed56.log,0.2,739,104,558,0.877
cubeK3C_speck3_seed57.log,0.2,839,103,641,0.891
cube_s10spec_t100_seed42.log,0.4,128,0,0,1.000
cube_s10spec_t100_seed43.log,0.4,128,0,0,1.000
cube_s10spec_t150_seed42.log,0.4,1636,1471,1168,0.527
cube_s10spec_t150_seed43.log,0.4,1605,1363,1152,0.541
cube_s10spec_t25_seed42.log,0.4,128,0,0,1.000
cube_s10spec_t25_seed43.log,0.4,128,0,0,1.000
cube_s10spec_t50_seed42.log,0.4,192,47,56,0.803
cube_s10spec_t50_seed43.log,0.4,205,55,65,0.788
cube_s10spec_t75_seed42.log,0.4,377,220,190,0.631
cube_s10spec_t75_seed43.log,0.4,380,240,198,0.613
cubeTG_2298750_0.log,0.286,859,71,729,0.924
cubeTG_2298750_1.log,0.286,967,33,839,0.967
cubeTG_2298750_2.log,0.286,961,81,826,0.922
cubeTG_2298750_3.log,0.286,1030,45,898,0.958
cubeTG_2298750_4.log,0.286,1223,79,1088,0.939
cubeTG_2298750_5.log,0.286,1395,93,1263,0.938
cubeTG_2298750_6.log,0.286,905,57,775,0.941
cubeTG_2298750_7.log,0.286,1262,87,1127,0.936
cubeTG_taugap_seed42.log,0.286,859,71,729,0.924
cubeTG_taugap_seed43.log,0.286,967,33,839,0.967
cubeTG_taugap_seed44.log,0.286,961,81,826,0.922
cubeTG_taugap_seed45.log,0.286,1030,45,898,0.958
cubeTG_taugap_seed46.log,0.286,1223,79,1088,0.939
cubeTG_taugap_seed47.log,0.286,1395,93,1263,0.938
cubeTG_taugap_seed48.log,0.286,905,57,775,0.941
cubeTG_taugap_seed49.log,0.286,1262,87,1127,0.936
cubev2_s10spec_t100_seed42.log,0.2,1897,637,1688,0.749
cubev2_s10spec_t100_seed43.log,0.2,1899,626,1691,0.752
cubev2_s10spec_t150_seed42.log,0.2,2739,913,2489,0.750
cubev2_s10spec_t150_seed43.log,0.2,2865,885,2624,0.764
cubev2_s10spec_t25_seed42.log,0.2,463,158,319,0.746
cubev2_s10spec_t25_seed43.log,0.2,468,163,317,0.742
cubev2_s10spec_t50_seed42.log,0.2,950,273,786,0.777
cubev2_s10spec_t50_seed43.log,0.2,1007,250,847,0.801
cubev2_s10spec_t75_seed42.log,0.2,1397,460,1201,0.752
cubev2_s10spec_t75_seed43.log,0.2,1474,408,1288,0.783
cubeX10_2274073_0.log,0.2,529,70,339,0.883
cubeX10_2274073_10.log,0.2,806,103,637,0.887
cubeX10_2274073_11.log,0.2,718,84,560,0.895
cubeX10_2274073_12.log,0.15,580,52,342,0.918
cubeX10_2274073_13.log,0.15,600,83,367,0.878
cubeX10_2274073_14.log,0.15,708,105,464,0.871
cubeX10_2274073_15.log,0.15,613,86,377,0.877
cubeX10_2274073_16.log,0.3,582,118,350,0.831
cubeX10_2274073_17.log,0.3,622,158,389,0.797
cubeX10_2274073_18.log,0.3,686,148,420,0.823
