=== train gdm_stride5.pt (faithful recipe, subgoal-step 5) ===
[cfg] {'subgoals': 'subgoals_dense_full.pt', 'out': 'gdm_stride5.pt', 'device': 'cuda', 'seed': 42, 'mask': '5', 'custom_mask_file': None, 'window_rule': 'clamp', 'subgoal_step': 5, 'latent_dim': 192, 'n_future': 3, 'wg': 1, 'hidden': 512, 'depth': 11, 'heads': 8, 'mlp_ratio': 4.0, 'goal_cond': False, 'goal_rule': 'final', 'goal_gap': None, 'goal_gap_max': None, 'timesteps': 1000, 'parameterization': 'eps', 'schedule': 'linear', 'min_snr_gamma': 0.0, 'sampler': 'ddim', 'normalization': 'standardize', 'epochs': 20, 'batch_size': 128, 'lr': 5e-05, 'weight_decay': 0.001, 'grad_clip': 1.0, 'lr_schedule': 'warmup_cosine', 'warmup_frac': 0.01, 'amp': True, 'ema_decay': 0.0, 'num_workers': 0, 'log_every': 500}
[data] mask=5deg: 9094 episodes used; 1100325 (cond,target) pairs; window_rule=clamp; file_stride=1 subgoal_step=5 => subgoal horizon = 5 frames
[norm] native ||z|| mean=13.81 (sqrt(D)=13.86); standardize per-dim (mean|.|=0.055, std mean=0.994)
[model] GDM (DiT) head params = 53.34M (hidden=512 depth=11 heads=8); diffusion T=1000 param=eps schedule=linear sampler=ddim norm=standardize min_snr_gamma=0.0
[sched] warmup_cosine: total_steps=171940 warmup=1719 peak_lr=5.0e-05 -> 0 (eta_min)
  [iter 33000] loss=0.02547 (run 0.02834, 2030s, 62ms/it)
  [iter 33500] loss=0.02085 (run 0.02825, 2060s, 61ms/it)
  [iter 34000] loss=0.02603 (run 0.02816, 2090s, 61ms/it)
[epoch 04/20] loss=0.02809 iters=34388 (2114s)
  [iter 34500] loss=0.02064 (run 0.02594, 2121s, 61ms/it)
  [iter 35000] loss=0.02703 (run 0.02613, 2151s, 61ms/it)
  [iter 35500] loss=0.01900 (run 0.02580, 2181s, 61ms/it)
  [iter 36000] loss=0.02274 (run 0.02586, 2211s, 61ms/it)
  [iter 36500] loss=0.03701 (run 0.02579, 2241s, 61ms/it)
  [iter 37000] loss=0.02445 (run 0.02570, 2270s, 61ms/it)
  [iter 37500] loss=0.02177 (run 0.02573, 2301s, 61ms/it)
  [iter 38000] loss=0.00893 (run 0.02565, 2331s, 61ms/it)
  [iter 38500] loss=0.01899 (run 0.02553, 2361s, 61ms/it)
  [iter 39000] loss=0.01699 (run 0.02550, 2392s, 61ms/it)
  [iter 39500] loss=0.01754 (run 0.02544, 2422s, 61ms/it)
  [iter 40000] loss=0.04273 (run 0.02537, 2452s, 61ms/it)
  [iter 40500] loss=0.04050 (run 0.02530, 2481s, 61ms/it)
  [iter 41000] loss=0.02672 (run 0.02523, 2510s, 61ms/it)
  [iter 41500] loss=0.02048 (run 0.02517, 2539s, 61ms/it)
  [iter 42000] loss=0.02722 (run 0.02509, 2569s, 61ms/it)
  [iter 42500] loss=0.01909 (run 0.02505, 2600s, 61ms/it)
[epoch 05/20] loss=0.02498 iters=42985 (2629s)
  [iter 43000] loss=0.02124 (run 0.02391, 2630s, 61ms/it)
  [iter 43500] loss=0.02395 (run 0.02323, 2660s, 61ms/it)
  [iter 44000] loss=0.02559 (run 0.02351, 2690s, 61ms/it)
  [iter 44500] loss=0.02418 (run 0.02333, 2721s, 61ms/it)
  [iter 45000] loss=0.02456 (run 0.02325, 2751s, 61ms/it)
  [iter 45500] loss=0.02927 (run 0.02327, 2781s, 61ms/it)
  [iter 46000] loss=0.01667 (run 0.02326, 2812s, 61ms/it)
  [iter 46500] loss=0.02178 (run 0.02323, 2842s, 61ms/it)
  [iter 47000] loss=0.01904 (run 0.02319, 2872s, 61ms/it)
  [iter 47500] loss=0.02206 (run 0.02308, 2902s, 61ms/it)
  [iter 48000] loss=0.02916 (run 0.02302, 2932s, 61ms/it)
  [iter 48500] loss=0.02031 (run 0.02302, 2962s, 61ms/it)
  [iter 49000] loss=0.02517 (run 0.02298, 2993s, 61ms/it)
  [iter 49500] loss=0.02861 (run 0.02292, 3023s, 61ms/it)
  [iter 50000] loss=0.02079 (run 0.02287, 3053s, 61ms/it)
  [iter 50500] loss=0.04172 (run 0.02284, 3084s, 61ms/it)
  [iter 51000] loss=0.01554 (run 0.02280, 3114s, 61ms/it)
  [iter 51500] loss=0.02255 (run 0.02274, 3144s, 61ms/it)
[epoch 06/20] loss=0.02273 iters=51582 (3149s)
  [iter 52000] loss=0.02317 (run 0.02093, 3175s, 61ms/it)
  [iter 52500] loss=0.03471 (run 0.02123, 3205s, 61ms/it)
  [iter 53000] loss=0.02055 (run 0.02160, 3235s, 61ms/it)
  [iter 53500] loss=0.02699 (run 0.02155, 3266s, 61ms/it)
  [iter 54000] loss=0.02011 (run 0.02155, 3296s, 61ms/it)
