file,header,env,subgoal,mode,n,seed,S,eval_filter,offset,budget,epfile,sr20,sr5,srq,call_ratio,tau,k
reacher_arms_s10spec_seed42.log,,reacher,specaccept,,128,42,10,,25,50,,,,57.81,0.694,0.2,8
reacher_arms_s10spec_seed43.log,,reacher,specaccept,,128,43,10,,25,50,,,,57.81,0.667,0.2,8
reacher_arms_s10spec_seed44.log,,reacher,specaccept,,128,44,10,,25,50,,,,58.59,0.653,0.2,8
reacher_arms_s10spec_seed45.log,,reacher,specaccept,,128,45,10,,25,50,,,,60.16,0.663,0.2,8
reacher_arms_s15gdm_seed42.log,,reacher,gdm,,128,42,15,,25,50,,,,57.81,,,
reacher_arms_s15gdm_seed43.log,,reacher,gdm,,128,43,15,,25,50,,,,55.47,,,
reacher_arms_s15gdm_seed44.log,,reacher,gdm,,128,44,15,,25,50,,,,52.34,,,
reacher_arms_s15gdm_seed45.log,,reacher,gdm,,128,45,15,,25,50,,,,52.34,,,
reacher_arms_s15spec_seed42.log,,reacher,specaccept,,128,42,15,,25,50,,,,60.16,0.738,0.2,8
reacher_arms_s15spec_seed43.log,,reacher,specaccept,,128,43,15,,25,50,,,,63.28,0.744,0.2,8
reacher_arms_s15spec_seed44.log,,reacher,specaccept,,128,44,15,,25,50,,,,53.12,0.710,0.2,8
reacher_arms_s15spec_seed45.log,,reacher,specaccept,,128,45,15,,25,50,,,,67.19,0.716,0.2,8
reacher_arms_s25gdm_seed42.log,,reacher,gdm,,128,42,25,,25,50,,,,52.34,,,
reacher_arms_s25gdm_seed43.log,,reacher,gdm,,128,43,25,,25,50,,,,56.25,,,
reacher_arms_s25gdm_seed44.log,,reacher,gdm,,128,44,25,,25,50,,,,53.12,,,
reacher_arms_s25gdm_seed45.log,,reacher,gdm,,128,45,25,,25,50,,,,53.91,,,
reacher_arms_s25spec_seed42.log,,reacher,specaccept,,128,42,25,,25,50,,,,57.81,0.898,0.2,8
reacher_arms_s25spec_seed43.log,,reacher,specaccept,,128,43,25,,25,50,,,,66.41,0.912,0.2,8
reacher_arms_s25spec_seed44.log,,reacher,specaccept,,128,44,25,,25,50,,,,60.94,0.859,0.2,8
reacher_arms_s25spec_seed45.log,,reacher,specaccept,,128,45,25,,25,50,,,,53.91,0.853,0.2,8
reacher_arms_s5gdm_seed42.log,,reacher,gdm,,128,42,5,,25,50,,,,53.12,,,
