rel,accepted,state_dist
0.452422,0,0.019808
0.656829,0,0.076303
1.323820,0,0.117767
1.409035,0,0.288731
0.208079,0,0.027088
0.902995,0,0.105740
1.296147,0,0.087767
0.616421,0,0.077218
1.445223,0,0.151759
0.394747,0,0.043175
0.341787,0,0.030688
0.350871,0,0.022871
0.425011,0,0.049895
0.303276,0,0.027839
0.370863,0,0.031389
1.018829,0,0.122818
0.523313,0,0.057245
0.536046,0,0.059381
0.915934,0,0.103663
0.481263,0,0.045959
1.427856,0,0.126310
0.378381,0,0.042504
1.085923,0,0.120733
0.207899,0,0.018953
0.551501,0,0.022870
1.512077,0,0.110116
1.587302,0,0.468541
1.343474,0,0.309679
0.725499,0,0.078824
0.310994,0,0.040336
0.971061,0,0.147040
0.301814,0,0.034064
0.216483,0,0.014994
0.462668,0,0.025863
0.512833,0,0.050485
0.726669,0,0.091719
0.505850,0,0.064953
0.536582,0,0.065421
0.671004,0,0.075891
1.377745,0,0.131223
0.879416,0,0.018459
0.346368,0,0.036031
0.488129,0,0.039212
1.225085,0,0.136807
1.203222,0,0.170609
0.633985,0,0.068486
0.584940,0,0.068871
0.494303,0,0.056533
0.407043,0,0.042708
0.226517,0,0.019978
0.760046,0,0.087393
0.514641,0,0.046389
0.451361,0,0.027563
0.519230,0,0.040913
0.246415,0,0.025908
0.236328,0,0.018940
1.672314,0,0.184332
0.266951,0,0.031619
0.485218,0,0.024870
0.820618,0,0.101969
1.283678,0,0.206692
0.267125,0,0.032707
0.677462,0,0.024400
1.187765,0,0.049165
0.666454,0,0.018415
0.685527,0,0.056158
0.721495,0,0.018216
0.590754,0,0.036244
0.947603,0,0.022996
0.631252,0,0.033743
0.252463,0,0.004983
0.614588,0,0.013214
0.913610,0,0.038468
0.444992,0,0.045922
0.520723,0,0.019221
0.281155,0,0.017497
0.390932,0,0.026718
0.465824,0,0.007747
0.616493,0,0.043003
0.804826,0,0.027078
0.470787,0,0.019326
0.203589,0,0.005546
1.431249,0,0.105402
0.806850,0,0.061486
0.294186,0,0.015457
0.898512,0,0.043534
0.616115,0,0.029536
1.058006,0,0.225027
0.241433,0,0.012442
0.554738,0,0.027719
0.708467,0,0.026102
0.524073,0,0.028321
0.666400,0,0.037886
0.786879,0,0.037338
0.272858,0,0.004824
0.339116,0,0.014424
0.373886,0,0.054380
0.852195,0,0.057150
0.743545,0,0.059524
0.401576,0,0.013613
0.404414,0,0.023042
1.597772,0,0.286755
0.456740,0,0.020278
0.673058,0,0.028883
0.654032,0,0.049108
0.525828,0,0.032440
1.211937,0,0.135455
0.604551,0,0.047539
0.445243,0,0.015762
0.408063,0,0.023907
0.331593,0,0.032400
1.292634,0,0.064439
0.572160,0,0.040261
0.678441,0,0.033844
0.501782,0,0.038407
0.218688,0,0.031449
0.907164,0,0.022297
0.333509,0,0.025969
1.158838,0,0.095986
0.450299,0,0.022529
0.224412,0,0.020134
0.819548,0,0.063374
0.347073,0,0.011483
0.232577,0,0.018807
0.547536,0,0.041531
0.618819,0,0.027984
0.311312,0,0.005517
1.203925,0,0.251758
0.882432,0,0.041128
0.772909,0,0.021415
0.516943,0,0.034865
1.231700,0,0.230862
0.666446,0,0.058052
0.673320,0,0.049115
0.614536,0,0.028845
0.503779,0,0.035625
0.547685,0,0.040252
0.856786,0,0.057741
0.389140,0,0.025036
0.431449,0,0.005868
0.369898,0,0.025532
0.295997,0,0.017759
0.577764,0,0.051139
0.407373,0,0.013418
0.408371,0,0.017365
0.492155,0,0.035101
0.835723,0,0.034395
0.596906,0,0.016441
0.207779,0,0.014941
0.592472,0,0.039310
0.463095,0,0.024109
0.490460,0,0.055031
0.590078,0,0.040119
0.797803,0,0.015832
0.399693,0,0.029209
0.297066,0,0.019489
1.407177,0,0.246823
1.041475,0,0.058246
0.380313,0,0.025243
0.245769,0,0.013748
0.339241,0,0.023160
0.521089,0,0.027654
0.556710,0,0.011503
0.526514,0,0.064872
0.276721,0,0.017549
