rel,accepted,state_dist
0.257680,0,16.116737
0.160026,1,15.530933
0.112605,1,4.057224
0.148148,1,20.253083
0.404430,0,25.766088
0.447838,0,23.579315
0.138012,1,6.974428
0.190081,1,3.239849
0.198399,1,5.285758
0.127704,1,7.078137
0.086662,1,7.660938
0.078485,1,3.225207
0.101398,1,11.161093
0.334323,0,28.943225
0.080075,1,8.204894
0.119147,1,6.660963
0.181060,1,15.118015
0.117906,1,2.950835
0.072712,1,10.227056
0.134929,1,19.136459
0.120256,1,15.020796
0.131988,1,14.258752
0.132424,1,10.961876
0.140329,1,14.643752
0.302780,0,12.878978
0.196686,1,25.912821
0.181033,1,31.768923
0.136204,1,3.980879
0.110732,1,6.717361
0.100254,1,10.968098
0.158486,1,6.872807
0.174275,1,3.393531
0.199426,1,2.575659
0.176527,1,18.912290
0.216542,0,7.515420
0.306798,0,4.081590
0.240620,0,3.383629
0.372685,0,50.924085
0.303776,0,18.127576
0.629347,0,49.600292
0.096949,1,2.903600
0.101719,1,6.733398
0.122263,1,7.024972
0.085759,1,5.926616
0.106199,1,3.305402
0.081957,1,3.336821
0.120002,1,5.076505
0.126696,1,3.848102
0.099569,1,10.207889
0.114672,1,1.580943
0.107254,1,7.487683
0.109832,1,3.362805
0.177656,1,3.916720
0.273664,0,23.893112
0.316714,0,43.536854
0.634366,0,38.771220
0.411326,0,48.548559
1.116991,0,73.041262
0.187320,1,10.572236
0.191332,1,2.201384
0.258359,0,20.140496
0.109227,1,8.427201
0.109418,1,18.580327
0.201417,0,18.634013
0.653102,0,70.360191
0.311069,0,26.869957
0.156728,1,10.364076
0.186277,1,8.256649
0.151660,1,9.214326
0.108309,1,12.397439
0.129852,1,11.479596
0.126154,1,10.313538
0.108819,1,15.012593
0.296431,0,36.686086
0.177580,1,12.566222
0.117226,1,4.962664
0.117098,1,11.759679
0.198627,1,5.463844
0.104670,1,7.128586
0.125514,1,18.468078
0.155502,1,6.568825
0.272010,0,14.745709
0.107573,1,5.984810
0.228536,0,6.366428
0.772899,0,66.645101
0.236342,0,11.627190
0.438104,0,26.122600
0.203667,0,22.282062
0.086962,1,5.856625
0.119826,1,10.223972
0.160897,1,8.210009
0.152336,1,18.783182
0.198559,1,16.118893
0.122893,1,16.190712
0.204549,0,7.416927
0.597600,0,10.803310
0.497892,0,7.271539
0.297284,0,23.678151
0.501109,0,55.302421
0.466738,0,76.131223
0.155262,1,4.855195
0.189051,1,2.573898
0.122163,1,5.324720
0.121865,1,12.292521
0.109391,1,6.409059
0.094489,1,8.268356
0.167121,1,21.406604
0.166082,1,27.813237
0.107071,1,6.788227
0.111047,1,3.566264
0.115847,1,5.167995
0.110750,1,10.308656
0.125523,1,5.572331
0.314975,0,53.420222
0.294946,0,38.613416
0.266358,0,43.482976
0.231412,0,34.169644
0.261335,0,39.645065
0.347803,0,63.244963
0.273621,0,35.017743
0.215817,0,15.582595
0.289363,0,64.605883
0.168675,1,7.854688
0.264939,0,29.347975
0.325539,0,25.503710
0.329371,0,59.257775
0.284421,0,12.594540
0.158502,1,7.820972
0.190892,1,9.767235
0.126374,1,31.059163
0.126212,1,11.134281
0.116383,1,11.167459
0.231824,0,13.629492
0.400921,0,19.560768
0.160534,1,31.940097
0.164431,1,5.426496
0.132487,1,11.420135
0.131884,1,6.954447
0.093042,1,14.538927
0.124254,1,9.374727
0.218811,0,6.704749
0.095806,1,1.909592
0.147637,1,4.538123
0.114752,1,3.114193
0.252020,0,40.745987
0.156183,1,22.895416
0.888261,0,63.781226
0.179468,1,24.054962
0.089040,1,6.929035
0.068742,1,0.684158
0.132662,1,8.338729
