rel,accepted,state_dist
0.308589,0,31.761699
0.196865,0,19.209472
0.104421,0,7.237244
0.155404,0,30.539106
0.111252,0,40.110465
0.096106,1,26.215998
0.236513,0,50.262254
0.120923,0,40.669618
0.303161,0,58.034173
0.119685,0,34.766181
0.181966,0,39.829570
0.219606,0,36.597809
0.279262,0,24.933291
0.108905,0,25.328846
0.288002,0,45.052095
0.249675,0,22.807085
0.198423,0,66.675707
0.117509,0,17.713832
0.133646,0,20.119212
0.292117,0,39.656029
0.229726,0,53.653364
0.227912,0,56.224809
0.129523,0,15.076286
0.108215,0,22.310659
0.263168,0,20.763450
0.130640,0,14.433685
0.082446,1,23.680797
0.197115,0,19.163660
0.181489,0,89.300738
0.231221,0,22.262167
0.252098,0,46.478262
0.277233,0,19.000617
0.320030,0,48.958509
0.300124,0,36.882600
0.298957,0,27.862441
0.245548,0,21.670898
0.082159,1,24.103868
0.349027,0,45.728967
0.087243,1,14.870688
0.114492,0,16.843075
0.302903,0,29.535308
0.275958,0,20.547054
0.187111,0,35.206099
0.192229,0,11.100583
0.254822,0,41.571881
0.347138,0,105.820001
0.168046,0,20.480647
0.113720,0,34.756901
0.230169,0,14.440058
0.188486,0,40.637392
0.121389,0,13.633933
0.150557,0,55.822513
0.195452,0,95.724114
0.253290,0,48.997598
0.172155,0,33.724524
0.133333,0,21.404744
0.199772,0,30.207907
0.106984,0,40.781432
0.226572,0,7.768933
0.126038,0,33.789864
0.387140,0,19.832499
0.260502,0,40.974554
0.302459,0,54.184231
0.191325,0,65.169957
0.216514,0,17.793595
0.198740,0,42.255140
0.081274,1,10.423822
0.191278,0,18.792465
0.113824,0,41.081571
0.069085,1,7.121808
0.258646,0,11.415062
0.104634,0,29.349583
0.083746,1,5.846682
0.185656,0,29.027045
0.333233,0,93.933526
0.247248,0,33.589528
0.231801,0,30.109741
0.184404,0,37.539237
0.135027,0,34.431172
0.228953,0,57.658383
0.149747,0,67.750443
0.096026,1,6.443875
0.131297,0,2.484715
0.288544,0,82.897526
0.188224,0,48.965980
0.212546,0,39.240333
0.131420,0,16.893151
0.200080,0,51.719854
0.256120,0,26.272926
0.242637,0,40.646259
0.121616,0,23.866087
0.265406,0,31.632621
0.252661,0,70.777786
0.177896,0,5.757048
0.127360,0,19.701355
0.253887,0,20.091552
0.197768,0,6.294591
0.219509,0,16.558756
0.224804,0,69.425177
0.299114,0,14.221718
0.269186,0,22.253334
0.313773,0,25.209311
0.389395,0,32.265949
0.093220,1,16.883885
0.190979,0,32.389277
0.183189,0,28.439343
0.329016,0,11.274451
0.124889,0,20.120774
0.307703,0,48.441792
0.237924,0,76.842472
0.168580,0,26.330772
0.093416,1,12.546472
0.253963,0,35.095100
0.227956,0,14.573498
0.167963,0,17.208399
0.083760,1,6.894044
0.230351,0,68.845449
0.139681,0,51.094754
0.272376,0,48.832694
0.119806,0,47.068369
0.267879,0,66.519930
0.088604,1,24.798243
0.282156,0,29.274936
0.172324,0,15.620037
0.164233,0,35.850600
0.287116,0,40.103430
0.132601,0,11.966760
0.203536,0,70.220691
0.298219,0,36.766362
0.209119,0,19.537579
0.224312,0,28.492918
0.136466,0,11.274560
0.146231,0,20.549021
0.109402,0,60.511497
0.171610,0,10.316973
0.080186,1,5.387036
0.231411,0,32.223477
0.110299,0,12.695580
0.328789,0,22.082015
0.323376,0,40.419507
